dose,exposure,cov_a,cov_b,cov_c,response
100,4151.151667179985,5.7118182538981035,2.331889533141997,7.831692190211973,0
100,8067.255814055288,4.919475027306991,4.663321699049897,6.736228833251078,1
100,4877.670561270752,4.879078118623973,4.212790522479133,4.679678561997343,1
100,9712.927413188414,8.422660289429919,6.55754402063303,1.2863606477552603,1
100,11490.740355578493,4.3650796126345455,3.9582148934550783,3.554226571334798,0
100,2451.5495569450463,8.68613506754053,7.595489431737389,3.638255369559842,0
100,5651.736724774641,6.61487033671654,3.952325847405934,5.133002254197158,0
100,9939.23292683402,5.349061674450915,7.768908985600291,8.291267427930208,0
100,5816.850066202131,5.6074382527727495,2.239051110003308,9.603130421338324,0
100,5175.964861258692,6.061574235451451,1.7883542502918455,8.737906764586185,0
100,12291.089758428909,3.604705760426211,9.947833220078346,4.624791492313548,0
100,5155.022947598127,4.066370907314752,3.836474930158519,0.9479016704071886,1
100,6841.002793415447,2.3085206629451775,5.836746443519315,3.913335344787947,1
100,5972.140571711047,2.1883508498157287,6.751428137824397,5.251527659398115,0
100,2963.727098503042,5.851453827174215,3.6546906417684255,7.279915212248259,0
100,10130.698882143437,6.248946755764191,6.4343604653319755,7.561752057655783,0
100,3904.002699225606,5.149496690816861,6.032229989181176,6.87533701803964,1
100,2412.9210868284126,7.466648489695158,4.394131091899446,1.527715426423224,1
100,4390.03692383188,9.396607279468206,5.184140720120146,7.2912576705315155,0
100,12162.724824490264,3.6351248964732434,4.903904831455794,3.755544692732871,0
100,9868.041433029815,0.3854486118994365,9.470488873582738,5.492196282433816,1
100,6985.588811804739,7.662048360358453,2.9787789954421093,5.210234205415462,1
100,6511.496692682876,3.0606916825784127,5.106589921030279,6.194388338744096,0
100,16030.158841848192,3.1151277592739044,5.870728665027908,5.069604305128964,1
100,6643.097829476301,7.707447406309846,6.2171579903474505,7.008933463280042,1
100,7141.3778725146185,4.200620885889098,3.7234796082647232,6.079110269281988,0
100,5764.077040497287,1.86867827817389,2.207265210424865,4.2538171865405925,1
100,6135.521360518691,5.510428946836155,8.217739224212957,5.33299767577077,1
100,4160.5251098171,4.608652628296863,4.02097165691434,5.377704450488606,0
100,3280.7173485078747,5.016260425078036,2.6700084694627915,5.621638371030827,1
100,12662.734795782948,6.077062479430111,4.335723324364887,8.885370219399134,1
100,10197.565497520736,3.963106314316518,4.44508762676838,4.383867474338036,0
100,6965.320395773617,6.771796908000768,7.895878207562873,5.4732923005963965,1
100,8165.0210049183725,4.379851633068588,5.238935506370299,8.021877066128875,1
100,2193.974805292514,5.929689048492463,7.053421125180893,7.772214756108311,1
100,5312.8548078354415,7.867160640853731,3.6128653184311132,7.972511578275215,1
100,7689.495504280548,6.213503542148596,5.60325293462034,3.404042379611012,1
100,3724.0838116944124,4.086489418052165,4.089935603971496,9.34814287428454,0
100,4332.321386728388,7.980119199989259,5.266670623347122,5.18810898018986,1
100,3816.7947983761287,7.633841063997927,2.597763370896309,9.19455593970929,0
100,3251.375555091962,6.518703900799501,1.6879816675797454,1.6107718165359886,1
100,4911.963094056122,5.67112306006591,9.342607679520592,5.059192055690255,1
100,4906.893178143231,3.2712228183727996,6.657355351681319,8.19096862138861,0
100,4634.05232586616,8.407693364068619,1.8062845834502341,3.0452330849131855,1
100,3316.609148667041,3.3438282609126286,3.3151279514916165,2.9500285270149664,0
100,3223.952636121491,8.713154707308803,9.530794498671527,2.494727353474394,1
100,3825.321883738831,4.337340696294668,8.3151598291108,2.231536982108955,0
100,5236.008792885709,2.290617044552199,4.255227863865191,3.781110248838436,1
100,4022.8699293991335,3.057604138550052,6.5048262145977995,5.928022604062216,1
100,9180.420723057681,5.721756322894736,3.843353277081516,5.596357122618091,1
100,2454.52681132072,4.306662489636756,3.6750485047242183,8.164048170942932,0
100,5084.425486922404,4.026785976794121,2.859747442471744,9.384136933581672,0
100,8213.329837275429,2.463863258060802,3.358705389477543,8.293185904182378,0
100,3104.784164860843,4.872994734282217,8.900582353371462,7.060294015893987,0
100,5885.878587255624,2.8689966820760624,4.847616458270171,0.9891378149704455,0
100,3663.2674024320077,1.0739717499346388,5.336094862461806,3.340542646361642,0
100,3145.0818384745266,3.9368133844428,5.684954810605893,4.01436413941897,1
100,7628.554381736593,7.458853827432172,8.155465805731481,6.924758203920312,1
100,10005.70497757912,3.4096620672871,3.567781482168498,4.702108291584847,1
100,4667.834827105005,6.676454688442828,2.368463526508572,1.7913882312063083,1
100,6726.956837673853,1.1498574658087628,8.937483791078602,8.950295974620941,0
100,2900.6583716205446,4.843291877321143,3.770213591451922,7.44069103341229,0
100,4725.220975477769,6.44118794564693,3.02525423623661,5.667489562991372,1
100,4072.8896044022904,5.844864897522034,1.836772334277975,8.125941885183199,0
100,8442.900213452154,5.297905392095343,1.7392847852757576,1.6339101370821265,1
100,5124.385911019433,3.2377748040270617,3.4133025300781754,6.814565947210721,0
100,8374.282410163598,2.708592276596476,6.70278061728451,3.5494149774296235,0
100,8408.960005469966,2.295841048528449,7.895720292986464,6.873882591265058,1
100,8149.460238444679,5.331596650065819,6.935178060436716,4.828462897504693,1
100,5069.499812053769,2.4736236516343975,3.9823751404750323,6.741998475444482,1
100,7642.263137513102,3.636402445415764,5.1685150222288945,8.359845276233736,1
100,6416.6374318918615,4.280449760548192,3.072490942913965,5.02056493147758,0
100,7158.155600487524,9.166186936740194,3.0401829165007643,7.689154457290752,0
100,1725.353467064743,3.2084826277456076,7.376402078240974,1.9358130482650757,0
100,5296.673281963084,5.661783084376143,2.3153442251303264,3.028982987246704,1
100,3746.795142067277,5.219842511230999,9.297344462554067,8.690758328514333,0
100,4700.1172917671865,2.439820890273393,4.745339037970463,6.055388758518544,0
100,6282.364635390301,4.798905539326781,5.603514564621188,0.6012804192296205,1
100,4532.01710261365,8.561550734038173,2.985906427671349,1.5859239845676845,1
100,3025.8593143424923,6.25789639838503,3.412201885253288,4.434990961782319,1
100,3889.1709863264864,5.116303936114074,1.6758840872248122,7.330640203272737,1
100,6753.559309894723,3.821078200980879,4.4850233372526755,4.712773364508995,1
100,4931.11310482688,0.6002701880216281,6.169328031881751,6.719039769004755,0
100,8065.787162255762,7.942484085552649,5.909008628253317,7.553493698877518,1
100,2963.265961519032,1.4099877514239743,2.877429329556436,8.930636220129895,1
100,5038.47294010054,7.017697637314545,2.8596996096972966,5.157990287469736,1
100,14579.440242398832,9.244909354681717,3.605041399149745,4.853385781119949,1
100,9955.093141276631,1.4396198728914003,8.651472668956238,0.9523967453693967,0
100,9793.997733256598,6.920294927893139,2.0446240867431293,5.280030511415713,1
100,3464.8902456604083,4.263437574345913,4.495886018469261,3.41893293537652,0
100,3167.4469055083696,1.222127713009047,9.23702888417423,2.4114157094508424,0
100,6620.222528703428,1.316904779782032,4.7153309924433255,4.493489246332375,0
100,4482.672183131137,1.1753646679091903,3.1751900838248073,7.683168998292205,1
100,6652.382647207845,3.528008455169637,6.349843427422446,3.80803161169825,0
100,4345.305693646351,6.8846356118338825,3.9495167676639937,5.328756578852783,1
100,3545.4879711609515,9.444601308449784,3.4454145535575735,2.602953705894361,0
100,7987.487984207757,1.734698243101259,4.036790159940795,5.935551388632815,0
100,2890.7549594211423,7.13809282528176,5.2551596887784155,6.148692973657265,1
100,5241.281031516189,7.091208214482693,8.819872123768606,4.90681285503473,1
100,5537.528850392705,5.930851719676042,4.750281176544861,0.28728200406004556,1
200,12205.623503141444,4.1717744908656975,2.1532781073683958,4.5624196251692055,1
200,11782.403377476176,7.345675341915933,8.630784431556105,6.57161761812892,1
200,13892.518969421044,4.024220741207279,1.9404902780792583,7.673393046575546,1
200,8582.820178910566,6.4387648091475,5.284962532172033,3.562633604832432,1
200,12450.219735004139,3.908110032906291,6.477563031278255,4.174724299282259,1
200,30886.058945074405,2.1417725667105265,6.620479609074072,6.111507685588209,0
200,15024.487851492537,8.109192365800778,4.153489154028802,3.4764271855154365,0
200,5486.734329933027,7.020114625424368,5.22418512537044,5.257330619121986,1
200,10282.473465178506,9.007393445009916,7.558790566735686,0.6955880913297218,1
200,5070.119327078489,5.183748551523141,2.876920264261761,2.0823415776428815,1
200,8918.225393511737,7.928753001714242,5.898209593407394,1.6550924039632455,1
200,14818.406898308296,9.319348292016812,3.7603709868252277,2.6990057711098525,1
200,3641.028235838592,4.2097688091762855,8.425290838267223,3.101493748861424,0
200,15708.463839904642,1.6643759555932935,6.846781996509263,6.068894880168244,1
200,10433.518865048447,4.327146618268754,5.203514417528746,7.607443013232494,1
200,14536.850935040235,4.397877433362965,1.3285953018260241,3.0142485434857025,0
200,13479.026270611868,5.4272864025726655,5.073624339061457,2.358454656526437,0
200,11935.941102630595,8.990473666151992,4.112828271120675,2.255959335021762,1
200,14187.818823688278,4.085902084826991,4.711468997807076,3.8426735139674935,0
200,13312.949021110615,6.043341055246429,1.9502676297170771,4.3280468767634925,1
200,8323.329702449035,4.359733344091409,6.385427607472963,6.344868916295087,1
200,5839.17080748513,5.0576889299458525,4.363819189114502,4.099236803747891,1
200,25248.74726232836,5.880639813846179,6.066480324150975,0.5757767219110138,1
200,14870.848831553027,8.345793415247103,2.872472470127041,4.742199285416932,0
200,12563.966253405333,5.341927732192153,6.610579141935977,8.061568711822733,1
200,6181.063755132013,6.94862943129714,1.6768667493018754,8.070827662573762,0
200,11616.77667879251,7.115862926973181,0.14190797215615458,2.858846746471948,1
200,8007.4153981345535,7.448774505997861,6.294421228979372,1.2617720125267762,1
200,20183.67569025375,3.412186329985283,7.26893933697662,4.542548560784726,0
200,3869.38396637918,8.864031191802184,4.197640469541959,4.725253244475737,1
200,7689.345599980088,3.9348078549512677,6.400144524134111,6.173673958520038,1
200,6325.719978885011,4.701790634751074,2.0046660520504624,1.1558222963496592,0
200,8760.061732735427,8.488412582921242,4.641671667345205,3.0121202006786687,1
200,14654.77621572106,8.27923666079563,0.7180106325523858,1.273859011362721,1
200,31125.11806930222,2.147946162897375,8.048935332181228,3.102033799645479,1
200,14417.876912101287,2.6516398306028095,9.186063270968832,5.334981178428791,1
200,10979.340647960255,1.597168691126084,7.816599025429936,6.629059961435624,0
200,10091.433114910635,5.511953549925426,4.9228591261957915,5.8120803062153445,1
200,23743.63854497705,5.464241901423822,4.905983122537277,2.576496815109108,1
200,6184.727424403619,6.018883989780738,1.3145440425158281,5.636468578027366,1
200,5474.336988611518,6.528725376167145,7.144706384190491,7.038314533730373,0
200,19710.84308751016,3.33952557085175,4.4071298502839635,7.787737348624024,1
200,9946.605898883754,2.3657087786961393,3.1960219406839636,4.401214782148651,0
200,4832.60486164772,7.7102124424938285,1.4970164335348364,4.735995773524593,1
200,13141.95508576764,7.045855698942562,4.158994164029175,4.755495302717215,1
200,10506.355798865698,1.3262061155999847,2.710166855411587,8.556047500044514,1
200,12647.912022684131,4.731741206461293,3.8907160222294825,7.928903087243032,0
